rowId,gasDay,zoneCode,zoneName,largeUser,distribution,other,total
3135,2022-11-10,MT,Metro,271.5,36.8,9.3,317.6
3136,2022-11-10,MW,Mid-West,0,0,4.6,4.6
3137,2022-11-10,PR,Parmelia,3.4,18.7,5.7,27.8
3138,2022-11-10,PI,Pilbara,51.2,0,0,51.2
3139,2022-11-10,SW,South-West,304.2,15.6,17.2,337
3140,2022-11-10,TL,Telfer,19.7,0,0.4,20.1
3141,2022-11-11,DM,Dampier,188.7,0,2.2,190.9
3142,2022-11-11,GO,Goldfields,34.1,0.3,57.9,92.3
3143,2022-11-11,KG,Kalgoorlie,12.8,0.4,0.2,13.4
3144,2022-11-11,KA,Karratha,36.3,0,5,41.3
3145,2022-11-11,MT,Metro,245,39.1,9.2,293.3
3146,2022-11-11,MW,Mid-West,0,0,4.5,4.5
3147,2022-11-11,PR,Parmelia,3.8,18.8,5.6,28.2
3148,2022-11-11,PI,Pilbara,56.7,0,0,56.7
3149,2022-11-11,SW,South-West,276.5,16.1,17.5,310.1
3150,2022-11-11,TL,Telfer,19.9,0,0.4,20.3
3151,2022-11-12,DM,Dampier,178.6,0,2,180.6
3152,2022-11-12,GO,Goldfields,33.5,0.3,56.2,90
3153,2022-11-12,KG,Kalgoorlie,18.2,0.5,0.2,18.9
3154,2022-11-12,KA,Karratha,36.8,0,4.3,41.1
3155,2022-11-12,MT,Metro,269,36.8,7.3,313.1
3156,2022-11-12,MW,Mid-West,0,0,4.6,4.6
3157,2022-11-12,PR,Parmelia,3.5,18.9,5.7,28.1
3158,2022-11-12,PI,Pilbara,59.2,0,0,59.2
3159,2022-11-12,SW,South-West,287.4,15.4,17.9,320.7
3160,2022-11-12,TL,Telfer,19.9,0,0.4,20.3
3161,2022-11-13,DM,Dampier,181.7,0,2.1,183.8
3162,2022-11-13,GO,Goldfields,34.7,0.3,60.6,95.6
3163,2022-11-13,KG,Kalgoorlie,15.9,0.5,0.2,16.6
3164,2022-11-13,KA,Karratha,35.9,0,4.6,40.5
3165,2022-11-13,MT,Metro,258.9,38.4,6.9,304.2
3166,2022-11-13,MW,Mid-West,0,0,4.6,4.6
3167,2022-11-13,PR,Parmelia,1.4,18.5,5.4,25.3
3168,2022-11-13,PI,Pilbara,58.2,0,0,58.2
3169,2022-11-13,SW,South-West,287.6,15.5,18,321.1
3170,2022-11-13,TL,Telfer,15.4,0,0.4,15.8
3171,2022-11-14,DM,Dampier,192.5,0,2.4,194.9
3172,2022-11-14,GO,Goldfields,39.2,0.3,68.3,107.8
3173,2022-11-14,KG,Kalgoorlie,14.3,0.5,0.2,15
3174,2022-11-14,KA,Karratha,35,0,4.9,39.9
3175,2022-11-14,MT,Metro,260,37.4,6.8,304.2
3176,2022-11-14,MW,Mid-West,0,0,2.4,2.4
3177,2022-11-14,PR,Parmelia,0.4,20.3,4.7,25.4
3178,2022-11-14,PI,Pilbara,59.8,0,0,59.8
3179,2022-11-14,SW,South-West,263.9,16.3,17.1,297.3
